index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Ac_Score,ScoreLEAD,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Similarity,Score_LAG1,Consistency_LEAD1,Joint_LAG1,Dif_consist_LAG1,RegionGo,Similarity_LAG1
0,7057297647,13,70572,Absent,56,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-19.0,51,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,100,-7.0,56,0.875,64,0.16532258064516125,0.203125,RS,0.875,-15.0,0.875,47.0,0.5150953389830508,ALL,0.08823529411764706
0,7057297647,23,70572,Absent,51,1,1,1,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,11.0,21,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,75,14.0,51,0.796875,55,0.405570652173913,0.53125,RS,0.796875,-7.0,0.4067796610169492,39.0,0.2943548387096774,RIGHT,0.875
0,7057297647,28,70572,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-32.0,64,Unicorn_Absent,-1,-1.0,1,Unicorn_Absent,27,23.0,64,0.5,64,0.09375,0.0,ALL,1.0,14.0,0.40625,18.0,0.12106537530266348,RS,0.796875
0,7057297647,32,70572,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-32.0,64,Unicorn_Absent,-1,-1.0,1,Unicorn_Absent,74,21.0,64,0.40625,64,0.09375,0.0,ALL,1.0,23.0,0.296875,9.0,0.09375,RS,1.0
0,7057297647,33,70572,Absent,19,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,21.0,11,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,95,21.0,19,0.296875,49,0.34375,0.59375,RS,0.296875,-32.0,0.08571428571428572,64.0,0.09375,RS,1.0
0,7057297647,37,70572,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,32,Unicorn_Absent,-1,-1.0,1,Unicorn_Absent,172,27.0,64,0.296875,64,0.10738031914893614,0.5,ALL,1.0,21.0,0.140625,11.0,0.3031746031746032,RS,0.296875
0,7057297647,38,70572,Absent,9,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0,5,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,199,28.0,9,0.140625,53,0.30580357142857145,0.75,RS,0.18421052631578946,0.0,0.09375,32.0,0.10738031914893614,RS,1.0
0,7057297647,39,70572,Absent,26,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,28.0,4,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,227,31.0,26,0.09375,34,0.10232843137254902,0.46875,RS,0.40625,27.0,0.32653061224489793,5.0,0.30580357142857145,RS,0.18421052631578946
0,7057297647,40,70572,Absent,39,1,1,0,1,0,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,31.0,1,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,258,-6.0,39,0.32653061224489793,40,0.249607535321821,0.609375,RS,0.609375,28.0,0.4528301886792453,4.0,0.10232843137254902,RS,0.40625
0,7057297647,41,70572,Absent,38,1,0,0,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,-6.0,38,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,252,4.0,38,0.4528301886792453,64,0.4215801886792453,0.40625,RS,0.59375,31.0,0.34615384615384615,1.0,0.249607535321821,RIGHT,0.609375
